LayerID, Avg IFMAP SRAM BW, Avg FILTER SRAM BW, Avg OFMAP SRAM BW, Avg IFMAP DRAM BW, Avg FILTER DRAM BW, Avg OFMAP DRAM BW
0,6.857281691,6.857281691,8.127148671,8.972283483,0.411820782,32
1,9.287623698,4.65455786,4.643811849,9.570549807,2.196377502,10.15704551
2,7.810304571,5.857728428,6.508587143,9.570549807,1.647283127,32
3,7.221800503,9.211480234,9.361593245,8.971748719,4.118207817,32
4,5.058820008,14.36824618,12.95057922,7.47556615,9.536297532,32
5,3.852747972,17.26031092,13.59249485,7.473784557,9.710000433,32
6,2.002582696,21.36088209,12.08415615,5.232896305,9.859697387,32
7,1.93245359,24.73540595,19.3245359,4.484270734,9.765815407,32
8,0.570617563,29.81185633,22.8247025,7.473784557,9.76586715,32
9,0.029251125,29.25112548,0.914097671,0.610104862,9.100798453,32
,2.320265664,13.47104008,8.501510216,5.813286861,4.66321372,28.53065356
