LayerID, Total Cycles, Stall Cycles, Overall Util %, Mapping Efficiency %, Compute Util %
0,49391,0, 21.429005284363548,84.375, 17.197452229299323
1,375209,0, 14.511912027696564, 99.76912928759894, 11.321319635472076
2,57819,0, 18.305401338660303,90, 14.49664429530204
3,23449,0, 28.21015821570216,94.5, 22.90909090909091
4,33407,0, 39.52203131080312, 85.95784505208334,33.5445249
5,51911,0, 42.13943094912446, 77.50496031746032, 36.62681669010778
6,50335,0, 37.548425548822884, 55.93039772727273, 33.87582449096648
7,22355,0, 60.38917468127936,78.125, 56.17977528089888
8,27479,0, 71.32719531278431,76.5625, 69.75088967971527
9,43759,0, 2.8565552229255697,3.125, 2.7777777777777772
,735114,,25.65599101,58.85458977,
